Amostra,Potência Média do Vento (MW),,,,Potência Média Consumida (MW),,,,Desvio Padrão do Vento (MW),,,FCSPV (Fração de Carga Suprida pela Potência do Vento),,,,,,Label PMV,,Label DPV,,Label FCSPV,
26,3805.562083,,,,58091.92417,,,,1752.632975,,,0.065509314,,,,,,-1,,0,,-1,
27,4382.047917,,,,56303.1125,,,,2232.909291,,,0.077829586,,,,,,0,,0,,1,
28,1830.074167,,,,57594.99417,,,,1055.739898,,,0.031774882,,,,,,-1,,-1,,-1,
29,4401.797917,,,,56456.77167,,,,1367.277242,,,0.077967581,,,,,,0,,0,,1,
30,7536.315,,,,59110.20417,,,,343.8182317,,,0.127496007,,,,,,0,,-1,,1,
31,7991.991667,,,,65197.05708,,,,493.6168155,,,0.122582092,,,,,,0,,-1,,1,
32,3754.6525,,,,66678.87125,,,,1224.892643,,,0.056309479,,,,,,-1,,0,,-1,
33,3011.599583,,,,59611.75,,,,1400.660137,,,0.050520234,,,,,,-1,,0,,-1,
34,3885.15125,,,,57542.64208,,,,1505.96037,,,0.067517777,,,,,,-1,,0,,-1,
35,2914.530833,,,,62117.36375,,,,1200.894335,,,0.046919744,,,,,,-1,,0,,-1,
36,4651.190833,,,,61415.21625,,,,1648.426706,,,0.075733525,,,,,,0,,0,,1,
37,3936.305833,,,,60743.53083,,,,1591.267318,,,0.064802058,,,,,,-1,,0,,-1,
38,3366.700417,,,,59775.3725,,,,892.9675327,,,0.056322533,,,,,,-1,,-1,,-1,
39,3004.272083,,,,60173.56375,,,,1427.994954,,,0.049926777,,,,,,-1,,0,,-1,
40,5954.073333,,,,55854.14833,,,,531.6448723,,,0.106600378,,,,,,0,,-1,,1,
41,7322.448333,,,,53421.18917,,,,895.4372674,,,0.137070111,,,,,,0,,-1,,1,
42,8551.557083,,,,59021.29458,,,,1518.573856,,,0.144889351,,,,,,1,,0,,1,
43,4093.295,,,,59608.35458,,,,465.8542037,,,0.06866982,,,,,,0,,-1,,-1,
44,3349.175,,,,58643.91833,,,,1418.088051,,,0.057110355,,,,,,-1,,0,,-1,
45,6379.992083,,,,58416.5025,,,,1340.413887,,,0.109215578,,,,,,0,,0,,1,
46,3623.50625,,,,59670.78208,,,,772.7874037,,,0.060724967,,,,,,-1,,-1,,-1,
47,1483.1325,,,,57274.70583,,,,641.4218361,,,0.02589507,,,,,,-1,,-1,,-1,
48,6161.65625,,,,55210.77875,,,,1509.053872,,,0.111602415,,,,,,0,,0,,1,
49,8379.7925,,,,58920.41083,,,,1057.634386,,,0.142222235,,,,,,0,,-1,,1,
50,8762.67625,,,,62996.59917,,,,983.4631191,,,0.139097608,,,,,,1,,-1,,1,
51,3259.214583,,,,64401.60458,,,,1116.895768,,,0.050607661,,,,,,-1,,-1,,-1,
52,5429.209167,,,,64086.56208,,,,1383.990391,,,0.084716811,,,,,,0,,0,,1,
53,3396.486667,,,,60747.00208,,,,1329.723256,,,0.055912005,,,,,,-1,,0,,-1,
54,1796.11125,,,,55372.42042,,,,607.3776657,,,0.032436929,,,,,,-1,,-1,,-1,
55,1269.6075,,,,53616.79375,,,,529.8021681,,,0.023679288,,,,,,-1,,-1,,-1,
56,1280.302917,,,,58674.63708,,,,933.4829,,,0.021820381,,,,,,-1,,-1,,-1,
57,5696.40875,,,,60008.65458,,,,1094.551829,,,0.094926453,,,,,,0,,-1,,1,
58,7261.037083,,,,60046.22042,,,,389.1081821,,,0.120924132,,,,,,0,,-1,,1,
59,4419.128333,,,,60183.77917,,,,1457.440104,,,0.073427232,,,,,,0,,0,,-1,
60,2914.150417,,,,59483.26,,,,342.6963763,,,0.048991101,,,,,,-1,,-1,,-1,
61,1618.74125,,,,56042.83083,,,,740.4129261,,,0.028884002,,,,,,-1,,-1,,-1,
62,4469.311667,,,,54263.17292,,,,1853.093337,,,0.082363626,,,,,,0,,0,,1,
63,4832.390417,,,,59654.64125,,,,1903.947966,,,0.08100611,,,,,,0,,0,,1,
64,5570.38625,,,,60175.46583,,,,1825.661148,,,0.092569059,,,,,,0,,0,,1,
65,2550.784583,,,,60478.86792,,,,1598.846762,,,0.04217646,,,,,,-1,,0,,-1,
66,3723.097917,,,,59711.47708,,,,1255.326232,,,0.062351462,,,,,,-1,,0,,-1,
67,4757.665833,,,,57497.69583,,,,1620.832436,,,0.08274533,,,,,,0,,0,,1,
68,6070.58125,,,,52315.13875,,,,516.8175348,,,0.116038711,,,,,,0,,-1,,1,
69,7499.70125,,,,50006.8575,,,,597.8367597,,,0.149973456,,,,,,0,,-1,,1,
70,5320.72,,,,57415.41375,,,,720.3719126,,,0.092670585,,,,,,0,,-1,,1,
71,7645.56,,,,58917.25667,,,,1147.803693,,,0.129767753,,,,,,0,,-1,,1,
72,3713.472083,,,,59812.22417,,,,1398.603,,,0.062085504,,,,,,-1,,0,,-1,
73,2955.452083,,,,58858.31792,,,,1979.782519,,,0.050212989,,,,,,-1,,0,,-1,
74,2817.807917,,,,56605.75833,,,,904.0263905,,,0.049779528,,,,,,-1,,-1,,-1,
75,3368.885833,,,,52269.45292,,,,1099.857369,,,0.064452288,,,,,,-1,,-1,,-1,
76,5385.482917,,,,53151.59958,,,,1813.883246,,,0.101323064,,,,,,0,,0,,1,
77,7380.5325,,,,59353.36458,,,,655.2638853,,,0.124349016,,,,,,0,,-1,,1,
78,6504.679583,,,,60167.46542,,,,1357.781555,,,0.108109583,,,,,,0,,0,,1,
79,6723.7425,,,,61063.54917,,,,1402.115811,,,0.110110575,,,,,,0,,0,,1,
80,1697.542917,,,,61137.43583,,,,832.0080466,,,0.027766014,,,,,,-1,,-1,,-1,
81,734.85125,,,,58529.5325,,,,426.0256765,,,0.012555222,,,,,,-1,,-1,,-1,
82,1311.462917,,,,52370.89583,,,,1074.334031,,,0.025041827,,,,,,-1,,-1,,-1,
83,5607.619583,,,,53129.11167,,,,1299.921604,,,0.105547023,,,,,,0,,0,,1,
84,6760.278333,,,,59142.77458,,,,949.3806368,,,0.114304383,,,,,,0,,-1,,1,
85,1749.8725,,,,58116.13292,,,,1239.608744,,,0.030109927,,,,,,-1,,0,,-1,
86,1709.506667,,,,56959.12583,,,,453.7576729,,,0.030012867,,,,,,-1,,-1,,-1,
87,1847.919167,,,,55187.47583,,,,983.0640804,,,0.033484394,,,,,,-1,,-1,,-1,
88,3183.114167,,,,50871.56417,,,,1333.855231,,,0.06257158,,,,,,-1,,0,,-1,
89,4373.22875,,,,47925.19542,,,,1224.588968,,,0.091251141,,,,,,0,,0,,1,
90,6372.932083,,,,45427.95708,,,,1411.929972,,,0.140286566,,,,,,0,,0,,1,
91,4360.620417,,,,54432.80833,,,,1590.035013,,,0.08011015,,,,,,0,,0,,1,
92,1797.417917,,,,56083.53167,,,,573.9303967,,,0.032048943,,,,,,-1,,-1,,-1,
93,4917.86375,,,,55694.90333,,,,1466.040165,,,0.088300068,,,,,,0,,0,,1,
94,5183.489167,,,,54173.63958,,,,1575.297407,,,0.095682867,,,,,,0,,0,,1,
95,5276.521667,,,,53060.84292,,,,1601.289118,,,0.099442854,,,,,,0,,0,,1,
96,6375.334167,,,,48498.19708,,,,677.0354698,,,0.131455076,,,,,,0,,-1,,1,
97,2766.685417,,,,45932.08542,,,,890.7693734,,,0.060234265,,,,,,-1,,-1,,-1,
98,3600.27875,,,,52735.57583,,,,1287.770935,,,0.068270398,,,,,,-1,,0,,-1,
99,6191.091667,,,,53894.75333,,,,320.5623811,,,0.114873736,,,,,,0,,-1,,1,
100,4220.705833,,,,54752.06875,,,,895.0358148,,,0.077087605,,,,,,0,,-1,,1,
101,3471.275417,,,,54989.67,,,,418.3121642,,,0.063125955,,,,,,-1,,-1,,-1,
102,4101.630417,,,,54893.05333,,,,807.7413189,,,0.074720391,,,,,,0,,-1,,-1,
103,3179.366667,,,,49781.25042,,,,723.0790384,,,0.06386675,,,,,,-1,,-1,,-1,
104,7307.861667,,,,47933.90292,,,,812.8651914,,,0.152457055,,,,,,0,,-1,,1,
105,6504.5475,,,,52813.12542,,,,1475.001543,,,0.123161571,,,,,,0,,0,,1,
106,2394.357917,,,,53050.13917,,,,715.3040751,,,0.045133867,,,,,,-1,,-1,,-1,
107,4978.0675,,,,54133.90708,,,,1018.746726,,,0.0919584,,,,,,0,,-1,,1,
108,6765.174583,,,,54780.7525,,,,984.2381689,,,0.123495466,,,,,,0,,-1,,1,
109,8185.131667,,,,54800.46667,,,,991.2933164,,,0.149362445,,,,,,0,,-1,,1,
110,2735.094167,,,,49867.37,,,,1227.392986,,,0.054847371,,,,,,-1,,0,,-1,
111,6191.527083,,,,47925.22292,,,,872.361446,,,0.129191409,,,,,,0,,-1,,1,
112,4711.565833,,,,52931.24208,,,,1501.120078,,,0.089012947,,,,,,0,,0,,1,
113,5709.58125,,,,53251.92667,,,,1389.779936,,,0.107218304,,,,,,0,,0,,1,
114,4839.659167,,,,53921.81625,,,,1794.919992,,,0.089753267,,,,,,0,,0,,1,
115,4338.162083,,,,53266.67833,,,,1340.459603,,,0.081442324,,,,,,0,,0,,1,
116,5822.569167,,,,51405.76917,,,,1511.313169,,,0.113266843,,,,,,0,,0,,1,
117,2961.46625,,,,46154.69625,,,,1193.87881,,,0.06416392,,,,,,-1,,0,,-1,
118,5274.264583,,,,45023.38292,,,,445.4803576,,,0.117145009,,,,,,0,,-1,,1,
119,3372.049583,,,,51763.575,,,,1454.070646,,,0.06514329,,,,,,-1,,0,,-1,
120,6763.905833,,,,53348.62667,,,,1424.852184,,,0.126786878,,,,,,0,,0,,1,
121,7063.315417,,,,54425.37292,,,,392.7470024,,,0.129779826,,,,,,0,,-1,,1,
122,6883.000417,,,,53777.90958,,,,522.4017956,,,0.127989363,,,,,,0,,-1,,1,
123,6338.265,,,,53345.19708,,,,353.8903443,,,0.118816039,,,,,,0,,-1,,1,
124,5212.24875,,,,47658.03083,,,,1078.22597,,,0.10936769,,,,,,0,,-1,,1,
125,1879.717083,,,,45543.92292,,,,634.5539927,,,0.041272621,,,,,,-1,,-1,,-1,
126,882.46375,,,,51883.37542,,,,687.2565446,,,0.017008603,,,,,,-1,,-1,,-1,
127,739.3416667,,,,52770.44583,,,,358.1644871,,,0.014010525,,,,,,-1,,-1,,-1,
128,1560.02625,,,,53449.38375,,,,504.1392381,,,0.029186983,,,,,,-1,,-1,,-1,
129,3810.799167,,,,53360.64708,,,,1814.36092,,,0.07141591,,,,,,-1,,0,,-1,
130,3935.108333,,,,51369.91167,,,,1520.62495,,,0.07660337,,,,,,-1,,0,,1,
131,6659.21125,,,,46113.36083,,,,1271.591193,,,0.144409584,,,,,,0,,0,,1,
132,2718.204583,,,,44525.30583,,,,884.1829153,,,0.061048533,,,,,,-1,,-1,,-1,
133,5093.76,,,,51877.68708,,,,1766.35135,,,0.098187878,,,,,,0,,0,,1,
134,6052.325,,,,54554.46625,,,,1328.740327,,,0.110940963,,,,,,0,,0,,1,
135,3202.590417,,,,56460.14333,,,,1934.417446,,,0.05672303,,,,,,-1,,0,,-1,
136,1947.89375,,,,56144.09458,,,,852.2376246,,,0.034694544,,,,,,-1,,-1,,-1,
137,3199.331667,,,,53756.73958,,,,800.5747079,,,0.059514987,,,,,,-1,,-1,,-1,
138,3944.5825,,,,50137.7975,,,,1534.630524,,,0.078674826,,,,,,-1,,0,,1,
139,4918.0575,,,,52197.51875,,,,874.3888619,,,0.09422014,,,,,,0,,-1,,1,
140,6206.509167,,,,60536.50125,,,,1322.326611,,,0.102525072,,,,,,0,,0,,1,
141,4023.418333,,,,59234.35792,,,,1002.085815,,,0.067923727,,,,,,0,,-1,,-1,
142,4037.974167,,,,56194.32,,,,1281.284758,,,0.071857337,,,,,,0,,0,,-1,
143,4618.36375,,,,52495.06708,,,,1182.924638,,,0.0879771,,,,,,0,,0,,1,
144,5406.745417,,,,50687.30542,,,,765.1574274,,,0.10666863,,,,,,0,,-1,,1,
145,5882.11375,,,,44972.61083,,,,543.9088749,,,0.130793246,,,,,,0,,-1,,1,
146,5523.659167,,,,43758.33167,,,,673.8931091,,,0.126231027,,,,,,0,,-1,,1,
147,3528.685,,,,45490.19167,,,,933.8068107,,,0.077570238,,,,,,-1,,-1,,1,
148,1501.149167,,,,54710.02458,,,,688.663655,,,0.027438284,,,,,,-1,,-1,,-1,
149,4247.404167,,,,59171.07792,,,,1229.272136,,,0.071781761,,,,,,0,,0,,-1,
150,7026.63,,,,61368.92875,,,,544.4314271,,,0.114498169,,,,,,0,,-1,,1,
151,6944.18875,,,,58195.39333,,,,824.4076607,,,0.119325403,,,,,,0,,-1,,1,
152,4922.12,,,,51198.95708,,,,1250.014859,,,0.096137115,,,,,,0,,0,,1,
153,2394.774167,,,,46181.37917,,,,1740.380668,,,0.051855839,,,,,,-1,,0,,-1,
154,2906.064167,,,,52099.81917,,,,1411.928081,,,0.055778776,,,,,,-1,,0,,-1,
155,4117.355833,,,,53032.305,,,,1057.210364,,,0.077638636,,,,,,0,,-1,,1,
156,1659.38375,,,,54207.28458,,,,299.9672314,,,0.030611822,,,,,,-1,,-1,,-1,
157,1343.508333,,,,54449.95,,,,265.7238876,,,0.024674189,,,,,,-1,,-1,,-1,
158,726.1870833,,,,52732.69625,,,,352.4297139,,,0.013771097,,,,,,-1,,-1,,-1,
159,4074.478333,,,,48663.46292,,,,1345.311755,,,0.083727669,,,,,,0,,0,,1,
160,3917.299583,,,,48068.19875,,,,1003.760698,,,0.08149462,,,,,,-1,,-1,,1,
161,862.8541667,,,,56098.34417,,,,487.1944346,,,0.015381099,,,,,,-1,,-1,,-1,
162,2170.704583,,,,60460.37583,,,,946.7765518,,,0.035902929,,,,,,-1,,-1,,-1,
163,4450.744583,,,,63420.19,,,,1634.560916,,,0.07017867,,,,,,0,,0,,-1,
164,2684.34875,,,,59883.25125,,,,1684.748434,,,0.04482637,,,,,,-1,,0,,-1,
165,4985.324583,,,,56840.34417,,,,1317.437667,,,0.087707502,,,,,,0,,0,,1,
166,2674.3225,,,,53002.81708,,,,682.2654847,,,0.050456233,,,,,,-1,,-1,,-1,
167,1976.567917,,,,53097.21958,,,,508.4515082,,,0.03722545,,,,,,-1,,-1,,-1,
168,2303.824583,,,,61549.86875,,,,964.7793692,,,0.037430211,,,,,,-1,,-1,,-1,
169,1312.08375,,,,58997.63625,,,,463.2011154,,,0.022239599,,,,,,-1,,-1,,-1,
170,3143.626667,,,,59524.59875,,,,1004.215486,,,0.052812228,,,,,,-1,,-1,,-1,
171,6271.075833,,,,63545.3525,,,,695.8805061,,,0.098686617,,,,,,0,,-1,,1,
172,5539.557083,,,,64039.35167,,,,1164.656706,,,0.086502392,,,,,,0,,0,,1,
173,3511.219167,,,,59489.9025,,,,951.5343864,,,0.059022103,,,,,,-1,,-1,,-1,
174,3900.465417,,,,58894.86333,,,,1267.314578,,,0.066227599,,,,,,-1,,0,,-1,
175,2865.3675,,,,66618.28375,,,,620.3039263,,,0.043011728,,,,,,-1,,-1,,-1,
176,2749.8425,,,,67994.9225,,,,462.4615875,,,0.04044188,,,,,,-1,,-1,,-1,
177,2649.492083,,,,68076.03667,,,,958.8016011,,,0.0389196,,,,,,-1,,-1,,-1,
178,3779.98125,,,,68727.97208,,,,1680.502078,,,0.054999168,,,,,,-1,,0,,-1,
179,6792.73625,,,,63038.27458,,,,1671.124532,,,0.107755745,,,,,,0,,0,,1,
180,5186.565833,,,,52992.12833,,,,1346.846894,,,0.097874269,,,,,,0,,0,,1,
181,2465.771667,,,,50424.1725,,,,563.8102223,,,0.048900588,,,,,,-1,,-1,,-1,
182,2062.630417,,,,56215.23458,,,,525.2797245,,,0.036691663,,,,,,-1,,-1,,-1,
183,975.09375,,,,56200.995,,,,348.6327353,,,0.017350115,,,,,,-1,,-1,,-1,
184,890.78,,,,57850.45958,,,,864.0512125,,,0.015397976,,,,,,-1,,-1,,-1,
185,3889.922917,,,,53217.16667,,,,1333.685773,,,0.073095265,,,,,,-1,,0,,-1,
186,5195.439583,,,,58837.31917,,,,842.3873496,,,0.088301773,,,,,,0,,-1,,1,
187,4688.68625,,,,58452.42958,,,,940.0886238,,,0.08021371,,,,,,0,,-1,,1,
188,2872.913333,,,,60560.92625,,,,1116.686039,,,0.047438398,,,,,,-1,,-1,,-1,
189,1381.020417,,,,69233.035,,,,796.9636385,,,0.01994742,,,,,,-1,,-1,,-1,
190,2656.096667,,,,71310.55542,,,,448.4549132,,,0.037246894,,,,,,-1,,-1,,-1,
191,2478.49125,,,,68104.075,,,,1529.766192,,,0.036392701,,,,,,-1,,0,,-1,
192,2937.323333,,,,63439.60833,,,,1436.323943,,,0.046301095,,,,,,-1,,0,,-1,
193,5964.637917,,,,63155.92458,,,,328.8904165,,,0.094443046,,,,,,0,,-1,,1,
194,4495.145,,,,59041.51958,,,,1233.787189,,,0.07613532,,,,,,0,,0,,1,
195,2808.685417,,,,62286.19292,,,,1299.94146,,,0.045093227,,,,,,-1,,0,,-1,
196,1568.804167,,,,73769.34458,,,,764.3848423,,,0.021266343,,,,,,-1,,-1,,-1,
197,2128.992917,,,,77322.50542,,,,1048.564779,,,0.027533936,,,,,,-1,,-1,,-1,
198,1807.4575,,,,79273.29792,,,,866.8800258,,,0.022800332,,,,,,-1,,-1,,-1,
199,4855.110833,,,,80444.88,,,,1469.00767,,,0.060353261,,,,,,0,,0,,-1,
200,3958.895833,,,,77996.57625,,,,1700.385228,,,0.050757303,,,,,,-1,,0,,-1,
201,829.3583333,,,,64064.07083,,,,530.0904833,,,0.012945764,,,,,,-1,,-1,,-1,
202,1254.122917,,,,58065.9,,,,752.0869591,,,0.021598269,,,,,,-1,,-1,,-1,
203,2977.355,,,,67609.48542,,,,637.5380026,,,0.044037534,,,,,,-1,,-1,,-1,
204,2043.421667,,,,64995.35333,,,,827.8299387,,,0.031439504,,,,,,-1,,-1,,-1,
205,644.48875,,,,58832.96708,,,,294.2811893,,,0.010954551,,,,,,-1,,-1,,-1,
206,2715.805833,,,,59986.145,,,,705.6789076,,,0.045273885,,,,,,-1,,-1,,-1,
207,4545.1675,,,,58041.36167,,,,1544.183761,,,0.078309112,,,,,,0,,0,,1,
208,2650.784583,,,,50509.30667,,,,753.2336551,,,0.052481112,,,,,,-1,,-1,,-1,
209,1762.939167,,,,47401.34375,,,,792.1910151,,,0.037191755,,,,,,-1,,-1,,-1,
210,1647.342917,,,,55576.51375,,,,329.5295849,,,0.029640991,,,,,,-1,,-1,,-1,
211,577.0704167,,,,57492.37417,,,,502.4322324,,,0.010037338,,,,,,-1,,-1,,-1,
212,870.7954167,,,,59484.53917,,,,416.7549745,,,0.014639021,,,,,,-1,,-1,,-1,
213,1257.303333,,,,60882.07667,,,,549.1709072,,,0.020651453,,,,,,-1,,-1,,-1,
214,1413.235417,,,,59191.61375,,,,241.8379519,,,0.023875602,,,,,,-1,,-1,,-1,
215,999.01875,,,,54542.05542,,,,474.8568728,,,0.018316485,,,,,,-1,,-1,,-1,
216,1346.760417,,,,50968.3975,,,,673.7250393,,,0.02642344,,,,,,-1,,-1,,-1,
217,1508.313333,,,,58106.81083,,,,976.0316067,,,0.0259576,,,,,,-1,,-1,,-1,
218,1626.74125,,,,62800.37583,,,,592.6631182,,,0.025903368,,,,,,-1,,-1,,-1,
219,1496.757083,,,,64232.17,,,,600.5499383,,,0.023302297,,,,,,-1,,-1,,-1,
220,911.76875,,,,62154.9425,,,,635.3927521,,,0.014669288,,,,,,-1,,-1,,-1,
221,1366.255417,,,,61064.02833,,,,421.7092904,,,0.022374145,,,,,,-1,,-1,,-1,
222,420.2233333,,,,55769.28458,,,,295.1474115,,,0.007535032,,,,,,-1,,-1,,-1,
223,1110.064167,,,,54530.195,,,,651.6156244,,,0.020356871,,,,,,-1,,-1,,-1,
224,1148.793333,,,,61985.8625,,,,465.178261,,,0.018533151,,,,,,-1,,-1,,-1,
225,1520.84375,,,,58164.33708,,,,462.0622302,,,0.026147358,,,,,,-1,,-1,,-1,
226,866.6575,,,,55484.96583,,,,530.8891611,,,0.015619682,,,,,,-1,,-1,,-1,
227,1023.5475,,,,56288.79167,,,,393.8033107,,,0.01818386,,,,,,-1,,-1,,-1,
228,1102.51,,,,57175.65375,,,,315.8152147,,,0.019282858,,,,,,-1,,-1,,-1,
229,2211.989583,,,,53454.88542,,,,529.896563,,,0.041380494,,,,,,-1,,-1,,-1,
230,2763.842083,,,,53710.21958,,,,929.0286853,,,0.051458402,,,,,,-1,,-1,,-1,
231,3400.646667,,,,64024.2375,,,,822.3083531,,,0.053114989,,,,,,-1,,-1,,-1,
232,3969.000417,,,,68471.15125,,,,1035.024337,,,0.057966024,,,,,,-1,,-1,,-1,
233,3617.62875,,,,70984.39417,,,,1668.712791,,,0.050963719,,,,,,-1,,0,,-1,
234,1560.209167,,,,67250.50875,,,,777.4272013,,,0.023199961,,,,,,-1,,-1,,-1,
235,2546.712917,,,,65131.45875,,,,1137.209038,,,0.039101119,,,,,,-1,,-1,,-1,
236,5455.142083,,,,60993.78375,,,,747.8538079,,,0.089437673,,,,,,0,,-1,,1,
237,6090.117917,,,,63765.45,,,,701.8784307,,,0.095508115,,,,,,0,,-1,,1,
238,4970.54,,,,74287.96917,,,,1469.607916,,,0.066909084,,,,,,0,,0,,-1,
239,3573.164583,,,,76092.13792,,,,1616.760005,,,0.046958394,,,,,,-1,,0,,-1,
240,1228.449583,,,,74798.37708,,,,623.008283,,,0.016423479,,,,,,-1,,-1,,-1,
241,1779.709167,,,,74537.08625,,,,695.5865945,,,0.023876828,,,,,,-1,,-1,,-1,
242,2021.29875,,,,73139.37208,,,,691.0319264,,,0.027636261,,,,,,-1,,-1,,-1,
243,1172.700417,,,,63748.54,,,,358.5390955,,,0.018395722,,,,,,-1,,-1,,-1,
244,3104.2375,,,,57116.64292,,,,878.666431,,,0.054349089,,,,,,-1,,-1,,-1,
245,1506.048333,,,,53380.76333,,,,573.8409198,,,0.028213316,,,,,,-1,,-1,,-1,
246,1084.165833,,,,57540.36417,,,,524.5849131,,,0.018841831,,,,,,-1,,-1,,-1,
247,1233.030833,,,,61070.57167,,,,700.8132576,,,0.020190262,,,,,,-1,,-1,,-1,
248,1577.14375,,,,62055.785,,,,854.1790315,,,0.025414935,,,,,,-1,,-1,,-1,
249,3758.09375,,,,62981.21708,,,,767.5819162,,,0.059670072,,,,,,-1,,-1,,-1,
250,2724.234167,,,,60984.82583,,,,1303.349223,,,0.044670689,,,,,,-1,,0,,-1,
251,2349.246667,,,,56921.10458,,,,708.1683336,,,0.04127198,,,,,,-1,,-1,,-1,
252,4015.071667,,,,68718.05167,,,,1136.410081,,,0.058428194,,,,,,0,,-1,,-1,
253,2827.1225,,,,73828.69667,,,,848.9540416,,,0.038293003,,,,,,-1,,-1,,-1,
254,1548.36625,,,,71032.54375,,,,500.7257972,,,0.021797984,,,,,,-1,,-1,,-1,
255,3180.922083,,,,62384.96167,,,,633.4082197,,,0.050988604,,,,,,-1,,-1,,-1,
256,2030.993333,,,,53943.20917,,,,875.3345016,,,0.037650584,,,,,,-1,,-1,,-1,
257,4457.982917,,,,48088.9725,,,,726.2753286,,,0.092702811,,,,,,0,,-1,,1,
258,3744.78125,,,,47161.26333,,,,1064.920589,,,0.079403752,,,,,,-1,,-1,,1,
259,2493.150833,,,,53136.00583,,,,954.0179926,,,0.046920178,,,,,,-1,,-1,,-1,
260,4273.862917,,,,53544.125,,,,506.7397114,,,0.079819456,,,,,,0,,-1,,1,
261,5042.364583,,,,57609.16875,,,,819.4947776,,,0.087527119,,,,,,0,,-1,,1,
262,4854.19,,,,62101.60292,,,,927.9243346,,,0.078165293,,,,,,0,,-1,,1,
263,4285.486667,,,,57889.96667,,,,1082.636792,,,0.074028142,,,,,,0,,-1,,-1,
264,1812.627917,,,,48478.86667,,,,750.7305606,,,0.037390064,,,,,,-1,,-1,,-1,
265,5046.476667,,,,46516.445,,,,870.4426207,,,0.108488013,,,,,,0,,-1,,1,
266,5867.182917,,,,53156.35625,,,,511.7984849,,,0.110375942,,,,,,0,,-1,,1,
267,2044.465,,,,54427.77292,,,,1600.783572,,,0.0375629,,,,,,-1,,0,,-1,
268,2966.79625,,,,55581.3975,,,,1536.8696,,,0.053377504,,,,,,-1,,0,,-1,
269,5941.549583,,,,56504.96542,,,,436.6422011,,,0.105150929,,,,,,0,,-1,,1,
270,6068.54625,,,,56326.4325,,,,404.2593096,,,0.107738871,,,,,,0,,-1,,1,
271,5290.653333,,,,50800.46542,,,,1305.634171,,,0.104145765,,,,,,0,,0,,1,
272,4621.677917,,,,47666.48625,,,,1075.337877,,,0.096958645,,,,,,0,,-1,,1,
273,5711.06,,,,54459.94583,,,,694.2167511,,,0.104867163,,,,,,0,,-1,,1,
274,4186.884583,,,,56322.51833,,,,2139.410169,,,0.074337666,,,,,,0,,0,,-1,
275,3723.807083,,,,57253.1025,,,,861.2483078,,,0.06504114,,,,,,-1,,-1,,-1,
276,2465.25125,,,,58561.92292,,,,496.9983514,,,0.042096487,,,,,,-1,,-1,,-1,
277,4684.727917,,,,59089.035,,,,768.4663403,,,0.079282525,,,,,,0,,-1,,1,
278,4124.84625,,,,52721.07292,,,,607.5095163,,,0.078239042,,,,,,0,,-1,,1,
